iter	Passed	Remaining
412	3729	5301
413	3738	5291
414	3747	5282
415	3756	5273
416	3765	5263
417	3774	5255
418	3783	5246
419	3793	5238
420	3801	5228
421	3811	5220
422	3820	5210
423	3831	5205
424	3841	5197
425	3851	5189
426	3859	5179
427	3868	5169
428	3877	5161
429	3886	5151
430	3895	5142
431	3904	5133
432	3913	5124
433	3922	5115
434	3931	5106
435	3940	5097
436	3949	5087
437	3958	5079
438	3967	5069
439	3976	5060
440	3984	5051
441	3993	5042
442	4002	5033
443	4011	5023
444	4021	5015
445	4030	5006
446	4039	4997
447	4048	4988
448	4058	4980
449	4067	4971
450	4076	4961
451	4085	4952
452	4093	4943
453	4103	4935
454	4112	4925
455	4120	4916
456	4129	4907
457	4139	4898
458	4148	4889
459	4157	4880
460	4166	4871
461	4174	4861
462	4183	4852
463	4192	4843
464	4202	4834
465	4210	4824
466	4219	4815
467	4227	4805
468	4237	4797
469	4246	4788
470	4255	4779
471	4264	4770
472	4273	4761
473	4283	4753
474	4292	4743
475	4300	4734
476	4309	4725
477	4319	4716
478	4328	4708
479	4337	4699
480	4346	4689
481	4355	4680
482	4363	4670
483	4373	4662
484	4382	4653
485	4391	4644
486	4400	4635
487	4409	4626
488	4418	4617
489	4427	4608
490	4436	4598
491	4444	4589
492	4454	4580
493	4463	4572
494	4472	4562
495	4481	4553
496	4490	4544
497	4499	4535
498	4508	4526
499	4518	4518
500	4527	4509
501	4536	4499
502	4544	4490
503	4553	4481
504	4562	4472
505	4571	4462
506	4580	4453
507	4588	4444
508	4598	4435
509	4606	4426
510	4615	4416
511	4624	4407
512	4634	4399
513	4642	4389
514	4652	4381
515	4661	4372
516	4669	4362
517	4679	4354
518	4688	4345
519	4697	4336
520	4706	4326
521	4714	4317
522	4723	4307
523	4732	4299
524	4741	4290
525	4754	4284
526	4768	4280
527	4780	4273
528	4789	4264
529	4798	4254
530	4806	4245
531	4816	4237
532	4825	4228
533	4835	4219
534	4844	4210
535	4852	4200
536	4862	4192
537	4870	4182
538	4880	4173
539	4889	4164
540	4897	4155
541	4906	4145
542	4915	4136
543	4924	4127
544	4933	4118
545	4942	4109
546	4951	4100
547	4960	4091
548	4969	4082
549	4977	4072
550	4986	4063
551	4996	4054
552	5004	4045
553	5014	4036
554	5022	4027
555	5031	4017
556	5040	4009
557	5049	3999
558	5058	3990
559	5066	3981
560	5075	3971
561	5084	3962
562	5094	3953
563	5102	3944
564	5110	3934
565	5119	3925
566	5128	3916
567	5137	3907
568	5146	3898
569	5154	3888
570	5163	3879
571	5172	3870
572	5181	3861
573	5190	3852
574	5199	3842
575	5209	3834
576	5217	3825
577	5227	3816
578	5235	3806
579	5244	3797
580	5253	3788
581	5262	3779
582	5271	3770
583	5280	3761
584	5289	3752
585	5297	3742
586	5307	3733
587	5315	3724
588	5325	3716
589	5334	3706
590	5342	3697
591	5352	3688
592	5361	3679
593	5369	3670
594	5378	3661
595	5388	3652
596	5396	3643
597	5406	3634
598	5414	3625
599	5423	3615
600	5432	3606
601	5441	3597
602	5451	3588
603	5460	3580
604	5469	3570
605	5477	3561
606	5486	3552
607	5495	3543
608	5503	3533
609	5512	3524
610	5521	3515
611	5530	3506
612	5540	3497
613	5549	3488
614	5558	3479
615	5569	3472
616	5580	3464
617	5593	3457
618	5603	3449
619	5612	3439
620	5621	3431
621	5630	3421
622	5638	3412
623	5647	3402
624	5656	3394
625	5665	3385
626	5674	3375
627	5683	3366
628	5691	3357
629	5701	3348
630	5709	3338
631	5719	3330
632	5727	3320
633	5736	3311
634	5745	3302
635	5755	3293
636	5764	3285
637	5773	3275
638	5782	3266
639	5791	3257
640	5800	3248
641	5809	3239
642	5817	3230
643	5826	3220
644	5835	3212
645	5844	3202
646	5853	3193
647	5862	3184
648	5871	3175
649	5880	3166
650	5889	3157
651	5898	3148
652	5907	3139
653	5917	3130
654	5925	3121
655	5935	3112
656	5943	3103
657	5952	3093
658	5961	3084
659	5970	3075
660	5979	3066
661	5988	3057
662	5997	3048
663	6005	3039
664	6015	3030
665	6023	3020
666	6033	3012
667	6042	3003
668	6050	2993
669	6059	2984
670	6068	2975
671	6077	2966
672	6085	2957
673	6095	2948
674	6103	2938
675	6113	2930
676	6122	2920
677	6130	2911
678	6139	2902
679	6148	2893
680	6156	2884
681	6166	2875
682	6174	2865
683	6183	2856
684	6192	2847
685	6201	2838
686	6211	2829
687	6219	2820
688	6228	2811
689	6237	2802
690	6247	2793
691	6256	2784
692	6264	2775
693	6274	2766
694	6283	2757
695	6294	2749
696	6303	2740
697	6311	2730
698	6320	2721
699	6329	2712
700	6338	2703
701	6347	2694
702	6356	2685
703	6365	2676
704	6374	2667
705	6383	2658
706	6391	2648
707	6400	2639
708	6409	2630
709	6418	2621
710	6427	2612
711	6436	2603
712	6444	2594
713	6454	2585
714	6463	2576
715	6472	2567
716	6481	2558
717	6490	2549
718	6499	2540
719	6508	2531
720	6517	2521
721	6526	2513
722	6535	2503
723	6543	2494
724	6552	2485
725	6561	2476
726	6569	2466
727	6578	2457
728	6587	2448
729	6596	2439
730	6605	2430
731	6614	2421
732	6623	2412
733	6631	2403
734	6641	2394
735	6649	2385
736	6659	2376
737	6667	2367
738	6676	2357
739	6685	2349
740	6694	2339
741	6703	2330
742	6712	2321
743	6721	2312
744	6730	2303
745	6739	2294
746	6748	2285
747	6756	2276
748	6764	2266
749	6774	2258
750	6784	2249
751	6792	2240
752	6801	2231
753	6811	2222
754	6820	2213
755	6829	2204
756	6837	2194
757	6846	2185
758	6855	2176
759	6864	2167
760	6873	2158
761	6882	2149
762	6891	2140
763	6900	2131
764	6909	2122
765	6918	2113
766	6927	2104
767	6936	2095
768	6950	2088
769	6959	2078
770	6969	2069
771	6977	2060
772	6986	2051
773	6999	2043
774	7008	2034
775	7018	2025
776	7026	2016
777	7036	2007
778	7044	1998
779	7055	1989
780	7063	1980
781	7072	1971
782	7081	1962
783	7090	1953
784	7099	1944
785	7108	1935
786	7117	1926
787	7125	1917
788	7134	1908
789	7143	1898
790	7151	1889
791	7160	1880
792	7169	1871
793	7179	1862
794	7188	1853
795	7197	1844
796	7205	1835
797	7215	1826
798	7224	1817
799	7234	1808
800	7242	1799
801	7251	1790
802	7259	1781
803	7269	1772
804	7277	1762
805	7286	1753
806	7295	1744
807	7304	1735
808	7314	1726
809	7323	1717
810	7332	1708
811	7340	1699
812	7350	1690
813	7358	1681
814	7368	1672
815	7376	1663
816	7385	1654
817	7394	1645
818	7403	1636
819	7413	1627
820	7421	1618
821	7430	1608
822	7438	1599
823	7448	1590
824	7456	1581
825	7466	1572
826	7475	1563
827	7484	1554
828	7493	1545
829	7502	1536
830	7510	1527
831	7519	1518
832	7528	1509
833	7537	1500
834	7546	1491
835	7555	1482
836	7564	1473
837	7572	1463
838	7582	1454
839	7590	1445
840	7599	1436
841	7608	1427
842	7617	1418
843	7626	1409
844	7634	1400
845	7643	1391
846	7651	1382
847	7660	1373
848	7669	1364
849	7678	1354
850	7687	1345
851	7695	1336
852	7704	1327
853	7713	1318
854	7722	1309
855	7730	1300
856	7740	1291
857	7749	1282
858	7758	1273
859	7767	1264
860	7775	1255
861	7785	1246
862	7796	1237
863	7806	1228
864	7815	1219
865	7823	1210
866	7832	1201
867	7841	1192
868	7850	1183
869	7860	1174
870	7868	1165
871	7877	1156
872	7886	1147
873	7895	1138
874	7904	1129
875	7913	1120
876	7922	1111
877	7930	1102
878	7940	1093
879	7949	1083
880	7958	1074
881	7966	1065
882	7976	1056
883	7985	1047
884	7994	1038
885	8003	1029
886	8011	1020
887	8021	1011
888	8030	1002
889	8039	993
890	8047	984
891	8056	975
892	8065	966
893	8074	957
894	8082	948
895	8091	939
896	8100	930
897	8110	921
898	8119	912
899	8128	903
900	8137	894
901	8146	885
902	8155	876
903	8164	867
904	8173	858
905	8182	848
906	8191	839
907	8200	830
908	8209	821
909	8218	812
910	8226	803
911	8236	794
912	8244	785
913	8254	776
914	8263	767
915	8271	758
916	8281	749
917	8290	740
918	8299	731
919	8308	722
920	8316	713
921	8325	704
922	8334	695
923	8343	686
924	8351	677
925	8360	668
926	8369	659
927	8379	650
928	8388	641
929	8397	632
930	8405	622
931	8415	613
932	8423	604
933	8433	595
934	8441	586
935	8450	577
936	8459	568
937	8468	559
938	8476	550
939	8485	541
940	8495	532
941	8504	523
942	8513	514
943	8522	505
944	8530	496
945	8539	487
946	8548	478
947	8557	469
948	8566	460
949	8574	451
950	8583	442
951	8591	433
952	8601	424
953	8610	415
954	8619	406
955	8628	397
956	8636	388
957	8646	379
958	8655	370
959	8663	360
960	8672	351
961	8681	342
962	8689	333
963	8699	324
964	8708	315
965	8716	306
966	8725	297
967	8734	288
968	8743	279
969	8752	270
970	8760	261
971	8769	252
972	8778	243
973	8788	234
974	8796	225
975	8805	216
976	8815	207
977	8825	198
978	8833	189
979	8842	180
980	8850	171
981	8860	162
982	8868	153
983	8878	144
984	8886	135
985	8895	126
986	8903	117
987	8913	108
988	8921	99
989	8930	90
