,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_max_depth,param_min_child_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.421143913269043,0.006978111078989838,0.03727788925170898,0.0005428591449370378,0.6,0.5,2,1,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 2, 'min_child_weight': 1, 'subsample': 0.6}",0.6438606510565391,0.6373500856653341,0.6384922901199315,0.6406624785836664,0.635252456020105,0.6391235922891153,0.00294406049463127,511
1,0.41898136138916015,0.0015390278208511762,0.03678464889526367,0.0006471221531524541,0.6,0.5,2,1,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 2, 'min_child_weight': 1, 'subsample': 0.8}",0.6438606510565391,0.6373500856653341,0.6384922901199315,0.6406624785836664,0.635252456020105,0.6391235922891153,0.00294406049463127,511
2,0.4329105854034424,0.010367344166702633,0.03747515678405762,0.0009764228428504402,0.6,0.5,2,1,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 2, 'min_child_weight': 1, 'subsample': 1.0}",0.6438606510565391,0.6373500856653341,0.6384922901199315,0.6406624785836664,0.635252456020105,0.6391235922891153,0.00294406049463127,511
3,0.42458066940307615,0.004450458224390186,0.03680601119995117,0.0006016097146474522,0.6,0.5,2,5,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 2, 'min_child_weight': 5, 'subsample': 0.6}",0.6463735008566533,0.6375785265562536,0.6383780696744717,0.6406624785836664,0.6339958875942426,0.6393976926530576,0.004093655523936527,436
4,0.4313539505004883,0.004649583595944958,0.03641419410705567,0.0004704472212961454,0.6,0.5,2,5,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 2, 'min_child_weight': 5, 'subsample': 0.8}",0.6463735008566533,0.6375785265562536,0.6383780696744717,0.6406624785836664,0.6339958875942426,0.6393976926530576,0.004093655523936527,436
5,0.4366854190826416,0.011199509853922762,0.03704261779785156,0.0005547711295585009,0.6,0.5,2,5,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 2, 'min_child_weight': 5, 'subsample': 1.0}",0.6463735008566533,0.6375785265562536,0.6383780696744717,0.6406624785836664,0.6339958875942426,0.6393976926530576,0.004093655523936527,436
6,0.4383373737335205,0.01986241649139818,0.03757143020629883,0.0011431638379071712,0.6,0.5,2,10,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 2, 'min_child_weight': 10, 'subsample': 0.6}",0.6431753283837807,0.6366647629925757,0.6368932038834951,0.6397487150199885,0.6361663239661869,0.6385296668492054,0.0026385418909636365,526
7,0.4447051525115967,0.019341784060697382,0.0385706901550293,0.0016946766801791927,0.6,0.5,2,10,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 2, 'min_child_weight': 10, 'subsample': 0.8}",0.6431753283837807,0.6366647629925757,0.6368932038834951,0.6397487150199885,0.6361663239661869,0.6385296668492054,0.0026385418909636365,526
8,0.4310391902923584,0.011113961237099932,0.03679227828979492,0.0009769003370350652,0.6,0.5,2,10,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 2, 'min_child_weight': 10, 'subsample': 1.0}",0.6431753283837807,0.6366647629925757,0.6368932038834951,0.6397487150199885,0.6361663239661869,0.6385296668492054,0.0026385418909636365,526
9,0.48998260498046875,0.009805093157419915,0.0394740104675293,0.0004876792211965255,0.6,0.5,4,1,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.6}",0.6547115933752141,0.6498001142204455,0.6502569960022844,0.6501427755568246,0.6457619374000457,0.6501346833109629,0.002835347417616331,301
10,0.48787379264831543,0.006619212704098089,0.03896021842956543,0.0004625913985010493,0.6,0.5,4,1,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.8}",0.6547115933752141,0.6498001142204455,0.6502569960022844,0.6501427755568246,0.6457619374000457,0.6501346833109629,0.002835347417616331,301
11,0.4884184837341309,0.008939784309370499,0.039835357666015626,0.0006178072439453318,0.6,0.5,4,1,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 1.0}",0.6547115933752141,0.6498001142204455,0.6502569960022844,0.6501427755568246,0.6457619374000457,0.6501346833109629,0.002835347417616331,301
12,0.48693222999572755,0.004635064948982201,0.038846063613891604,0.0006161104662177103,0.6,0.5,4,5,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 5, 'subsample': 0.6}",0.6532267275842376,0.6510565391205025,0.6486579097658481,0.6475157053112507,0.6465615718528672,0.6494036907269413,0.0024308778862995816,391
13,0.48865132331848143,0.006293471222018839,0.03961930274963379,0.000386808809676289,0.6,0.5,4,5,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 5, 'subsample': 0.8}",0.6532267275842376,0.6510565391205025,0.6486579097658481,0.6475157053112507,0.6465615718528672,0.6494036907269413,0.0024308778862995816,391
