iter	Logloss
0	0.6880444719
1	0.6835113378
2	0.6794326879
3	0.6762471321
4	0.6729406385
5	0.670670158
6	0.6680906699
7	0.6649619781
8	0.6629534907
9	0.6609914853
10	0.6591554565
11	0.6568484723
12	0.6553296536
13	0.6535851605
14	0.6521518066
15	0.6508912331
16	0.6493610145
17	0.6479792117
18	0.6469399196
19	0.6456538055
20	0.6444948926
21	0.6434512961
22	0.642387878
23	0.6416529275
24	0.6408047824
25	0.6397844377
26	0.638853852
27	0.6380837004
28	0.6375061081
29	0.6366150389
30	0.6359750801
31	0.6353927843
32	0.6347069806
33	0.6342361775
34	0.6337015567
35	0.6331366261
36	0.6327045158
37	0.6322314432
38	0.6318004987
39	0.6314772583
40	0.6309858048
41	0.6305727455
42	0.6302159464
43	0.6298753425
44	0.6296196085
45	0.6293296627
46	0.6290132174
47	0.6287279734
48	0.6284563275
49	0.6281244841
50	0.6278783619
51	0.6275416702
52	0.626979844
53	0.6265659854
54	0.6262655309
55	0.6259723735
56	0.6257637375
57	0.6255516566
58	0.6252392018
59	0.6249548012
60	0.624697612
61	0.6243886956
62	0.6240880916
63	0.6237833382
64	0.6234960371
65	0.6233270169
66	0.6231303908
67	0.6229594468
68	0.6227325869
69	0.6224658506
70	0.6223028909
71	0.6221302963
72	0.6217567024
73	0.6215648891
74	0.621402713
75	0.621141437
76	0.6208729069
77	0.6206109146
78	0.6204211483
79	0.6202415245
80	0.6200588578
81	0.6196579856
82	0.6194140061
83	0.6192349151
84	0.6190288445
85	0.618796206
86	0.6185878614
87	0.6184246754
88	0.6182328573
89	0.6180425369
90	0.6179018375
91	0.6177200155
92	0.6175643276
93	0.6174399133
94	0.617259072
95	0.6171171665
96	0.6169422246
97	0.616748955
98	0.6165707232
99	0.6163970779
100	0.6162190434
101	0.6159385451
102	0.6157826042
103	0.6156403863
104	0.6155739935
105	0.6154171281
106	0.6151951416
107	0.6150220245
108	0.6148484033
109	0.6147061945
110	0.6145394149
111	0.6143393666
112	0.6141442705
113	0.6139996399
114	0.6138401891
115	0.6135967579
116	0.6134617334
117	0.6133082082
118	0.6130690313
119	0.6129595582
120	0.6128323084
121	0.6126883898
122	0.6125547045
123	0.6124184307
124	0.6122770337
125	0.6120902065
126	0.6119837378
127	0.6118300012
128	0.6116173252
129	0.6114797967
130	0.611314148
131	0.6111537788
132	0.6110638413
133	0.6109126682
134	0.6108202668
135	0.6106850984
136	0.6105598604
137	0.610407209
138	0.6102791997
139	0.6100871858
140	0.6099475665
141	0.6097674291
142	0.6096299997
143	0.6095114693
144	0.6093605134
145	0.6092464363
146	0.6090693805
147	0.6089809985
148	0.6088641341
149	0.6087298132
150	0.6086022752
151	0.6084779779
152	0.6083171641
153	0.6081877533
154	0.6080523997
155	0.607933906
156	0.6078226412
157	0.6076502184
158	0.6075736985
159	0.6074467654
160	0.607280084
161	0.6071853109
162	0.6070616544
163	0.6069011231
164	0.606798521
165	0.6065963651
166	0.6064641781
167	0.6063150471
168	0.6062074863
169	0.6061276468
170	0.6057985637
171	0.6056873308
172	0.605558166
173	0.6054399688
174	0.6053416101
175	0.6052328601
176	0.6051064515
177	0.6050199908
178	0.6049266711
179	0.6047771909
180	0.6046733939
181	0.6045179908
182	0.6043753718
183	0.6042277208
184	0.6040905203
185	0.6039860513
186	0.6038622701
187	0.6037490557
188	0.6036026141
189	0.6034914946
190	0.6033597359
191	0.603283423
192	0.6031450348
193	0.6029846607
194	0.6028228634
195	0.6026713357
196	0.6024864244
197	0.6023219912
198	0.6022202195
199	0.6020761264
200	0.6019473855
201	0.6018128211
202	0.6016540591
203	0.6015274353
204	0.6014219654
205	0.601222813
206	0.601057712
207	0.6009252892
208	0.6007492368
209	0.6006211007
210	0.6004510035
211	0.600300079
212	0.6001704638
213	0.6000406246
214	0.5997543875
215	0.5996016082
216	0.5994565452
217	0.5993549064
218	0.5992200229
219	0.5990761358
220	0.5989339394
221	0.5987605673
222	0.5986682544
223	0.5985216459
224	0.5983809941
225	0.5982686891
226	0.5980494305
227	0.5979008261
228	0.5977748238
229	0.5976239064
230	0.5974938048
231	0.5973473381
232	0.5972240275
233	0.597030624
234	0.5968750835
235	0.5967789446
236	0.5964859001
237	0.5963140312
238	0.5961593753
239	0.5959624615
240	0.5958595287
241	0.5957003052
242	0.5955254347
243	0.5953750385
244	0.5952109987
245	0.5950221499
246	0.5947676178
247	0.5946351643
248	0.5945087368
249	0.5943755046
250	0.5940782517
251	0.59391203
252	0.59377682
253	0.5936090152
254	0.5934338561
255	0.5932064844
256	0.5930543365
257	0.5929137642
258	0.5927629485
259	0.5926232226
260	0.592487112
261	0.5923880513
262	0.5922456442
263	0.5919871549
264	0.5918084042
265	0.5916753879
266	0.5915910811
267	0.5914586238
268	0.5912679858
269	0.5911322557
270	0.5910060923
271	0.5908486423
272	0.590715886
273	0.5906096575
274	0.5904469016
275	0.5902150443
276	0.5900527591
277	0.5899456612
278	0.5898167116
279	0.5896930792
280	0.5895819148
281	0.5894229036
282	0.5891975314
283	0.5890424116
284	0.5888635495
285	0.5887069332
286	0.5885480998
287	0.5884179777
288	0.5882411756
289	0.5880858309
290	0.5879551821
291	0.5877478251
292	0.5876198261
293	0.587481816
294	0.5873342405
295	0.5872334079
296	0.5870692899
297	0.586916022
298	0.5868190057
299	0.5866702776
300	0.5865293836
301	0.5864034246
302	0.5862953903
303	0.5861602909
304	0.5860053398
305	0.5858757973
306	0.5857526248
307	0.5856364259
308	0.5855362331
309	0.5853878171
310	0.5852619179
311	0.5851549875
312	0.585020223
313	0.5848570925
314	0.5846743829
315	0.5845397007
316	0.5844460324
317	0.5843394043
318	0.5842214204
319	0.5840803322
320	0.5839364336
321	0.5837778158
322	0.5836288042
323	0.5835148025
324	0.5833786366
325	0.5832486545
326	0.5831066206
327	0.5829925863
328	0.5828412726
329	0.5826972098
330	0.5825692494
331	0.5824464566
332	0.5822884705
333	0.5820763187
334	0.5819736728
335	0.5818520232
336	0.5816691439
337	0.5815765663
338	0.581450096
339	0.5812982813
340	0.5811484989
341	0.5810623212
342	0.5809324153
343	0.5807675303
344	0.5806075861
345	0.580405222
346	0.5802571294
347	0.5801089533
348	0.5799457077
349	0.5798414078
350	0.5797329113
351	0.5795761269
352	0.5794316894
353	0.5793104679
354	0.5791181512
355	0.5789972193
356	0.5788843785
357	0.5787318565
358	0.578545085
359	0.5783356503
360	0.5782185236
361	0.5781212845
362	0.5779334423
363	0.5777155703
364	0.5775427129
365	0.5774038295
366	0.5772808981
367	0.5771108508
368	0.5769554618
369	0.5767578375
370	0.5766392597
371	0.5764944869
372	0.5763660047
373	0.5762408765
374	0.5760201942
375	0.5759018749
376	0.5757600499
377	0.5756251493
378	0.5754960036
379	0.5753785795
380	0.5752687016
381	0.5751282473
382	0.5749828168
383	0.5748437243
384	0.5747338267
385	0.5745905918
386	0.5744336449
387	0.5743293287
388	0.5742218733
389	0.574126269
390	0.573953698
391	0.5738555603
392	0.5737002064
393	0.5735569671
394	0.573410793
395	0.5732616285
396	0.5730990248
397	0.5729731562
398	0.5728377277
399	0.5727256028
400	0.5725808426
401	0.57250559
402	0.5723185857
403	0.5721888845
404	0.5720047948
405	0.5719075992
406	0.5717493659
407	0.571600606
408	0.5714560945
409	0.5712566443
410	0.5711681123
411	0.5710574949
412	0.5709229345
413	0.5707873907
414	0.5706357847
415	0.5705044873
416	0.570337335
417	0.5702069785
418	0.5700950301
419	0.5699641374
420	0.5698216985
421	0.5697038654
422	0.5695861686
423	0.5694543546
424	0.5692812225
425	0.56913911
426	0.5690458285
427	0.5689146438
428	0.5688253951
429	0.568680255
430	0.5685584888
431	0.5683918777
432	0.5683223209
433	0.5682036869
434	0.5680426147
435	0.5678947538
436	0.5677377536
437	0.5676561399
438	0.5674868263
439	0.5673059745
440	0.5671359811
441	0.5670327472
442	0.5668798093
